0.204,0.90,14.8,0.04,28.7,5.0,0.23,544.12,54.41,250.15,239.56,1.04,0.460,0.44
0.218,0.90,15.9,0.04,28.8,5.0,0.24,536.46,53.65,232.15,250.67,0.93,0.430,0.47
0.223,0.90,15.9,0.04,29.2,5.0,0.25,529.06,52.91,239.35,236.81,1.01,0.450,0.45
0.200,0.90,19.9,0.04,31.8,5.0,0.22,536.21,53.62,286.14,196.45,1.46,0.530,0.37
0.188,0.90,15.9,0.04,30.8,5.0,0.21,554.36,55.44,268.14,230.78,1.16,0.480,0.42
0.187,0.90,15.9,0.04,33.8,5.0,0.21,536.74,53.67,322.13,160.93,2.00,0.600,0.30
0.208,0.90,15.9,0.04,36.1,5.0,0.23,501.09,50.11,363.52,87.46,4.16,0.730,0.17
0.202,0.90,18.1,0.04,31.5,5.0,0.22,550.35,55.03,241.15,254.16,0.95,0.440,0.46
0.209,0.90,18.1,0.04,32.6,5.0,0.23,536.54,53.65,260.95,221.94,1.80,0.490,0.41
0.173,0.75,18.1,0.04,33.1,5.0,0.23,419.42,41.94,269.94,107.53,2.51,0.640,0.26
0.216,0.75,18.1,0.04,33.8,5.0,0.29,372.03,37.20,282.54,52.28,5.40,0.760,0.14
0.132,0.75,18.1,0.04,11.5,5.0,0.18,581.87,58.19,-118.78,642.46,-0.18,-0.200,1.10
0.191,0.75,18.1,0.04,28.6,5.0,0.25,428.95,42.89,188.96,197.09,0.96,0.440,0.46
0.145,0.75,18.1,0.04,27.8,5.0,0.19,479.97,47.97,174.56,257.18,0.68,0.360,0.54
0.127,0.75,18.1,0.04,34.8,5.0,0.17,454.70,45.47,300.54,108.69,2.77,0.660,0.24
0.197,0.75,18.1,0.04,36.2,5.0,0.26,375.74,37.57,325.73,12.43,26.43,0.870,0.03
0.147,0.75,18.1,0.04,20.3,5.0,0.20,520.59,52.06,39.59,428.94,0.09,0.080,0.82
0.174,0.75,18.1,0.04,33.7,4.0,0.23,414.66,41.47,224.59,148.60,1.51,0.540,0.36
0.161,0.75,17.9,0.04,30.6,4.0,0.21,445.54,45.55,182.84,218.15,0.84,0.410,0.49
0.234,0.75,17.9,0.04,30.1,4.0,0.31,375.59,37.56,175.64,162.38,1.08,0.470,0.43
0.138,0.75,17.9,0.04,17.7,4.0,0.18,542.38,54.24,-2.88,491.02,-0.01,-0.010,0.91
0.052,0.60,17.9,0.04,11.0,4.0,0.09,513.05,51.31,-99.34,561.09,-0.18,-0.190,1.09
0.162,0.60,17.9,0.04,23.1,4.0,0.27,338.67,33.86,74.86,229.91,0.33,0.222,0.68
0.158,0.60,17.9,0.04,30.3,4.0,0.26,300.37,30.04,178.52,91.81,1.94,0.590,0.31
0.093,0.60,17.9,0.04,22.5,4.0,0.16,411.03,41.10,66.23,303.70,0.22,0.160,0.74
0.144,0.60,17.9,0.04,22.4,4.0,0.24,360.59,36.06,64.79,259.74,0.25,0.180,0.72
0.247,0.60,17.9,0.04,26.6,4.0,0.41,233.47,23.35,125.25,84.87,1.48,0.540,0.36
0.111,0.60,17.6,0.04,17.5,3.0,0.19,418.48,41.85,-1.08,377.71,0.00,0.000,0.90
0.102,0.60,17.6,0.04,25.0,3.0,0.17,385.81,38.58,79.90,267.32,0.30,0.210,0.69
0.086,0.60,17.6,0.04,20.7,3.0,0.14,426.09,42.61,33.47,350.01,0.10,0.080,0.82
0.124,0.60,17.6,0.04,19.0,3.0,0.21,397.40,39.75,15.12,342.54,0.04,0.040,0.86
0.142,0.60,17.6,0.04,28.1,3.0,0.24,327.64,32.76,113.38,181.50,0.62,0.350,0.55
0.101,0.60,17.6,0.04,25.1,3.0,0.17,386.23,38.62,80.98,266.62,0.30,0.210,0.69
0.148,0.60,17.6,0.04,28.5,3.0,0.25,319.25,31.93,117.70,169.63,0.69,0.370,0.53
0.190,0.60,17.6,0.04,26.4,3.0,0.32,289.67,28.97,95.02,165.68,0.57,0.330,0.57
0.090,0.45,17.3,0.04,26.4,2.5,0.20,235.71,23.57,81.88,130.25,0.63,0.350,0.55
0.089,0.45,17.3,0.04,24.6,2.5,0.20,249.15,24.91,65.69,158.55,0.41,0.260,0.64
0.093,0.45,17.3,0.04,24.3,2.5,0.21,246.87,24.69,62.99,159.19,0.40,0.260,0.64
0.085,0.45,17.3,0.04,20.1,2.5,0.19,278.43,27.84,25.19,225.39,0.11,0.090,0.81
0.147,0.45,17.3,0.04,21.4,2.5,0.33,209.24,20.92,36.89,151.43,0.24,0.180,0.72
0.146,0.45,17.3,0.04,18.2,2.5,0.32,227.76,22.78,8.10,196.89,0.04,0.040,0.87
0.095,0.45,17.3,0.04,21.0,2.5,0.21,263.47,26.35,33.29,203.83,0.16,0.130,0.77
0.082,0.45,17.3,0.04,18.7,2.5,0.18,289.06,28.91,12.60,247.56,0.05,0.040,0.86
0.045,0.45,17.3,0.04,20.0,2.5,0.10,318.98,31.90,24.29,262.79,0.09,0.080,0.82
0.046,0.45,17.3,0.04,18.2,2.5,0.10,327.76,32.87,8.10,286.89,0.03,0.020,0.88
0.049,0.45,17.3,0.04,16.5,2.5,0.11,333.84,33.38,-7.20,307.62,-0.02,-0.020,0.92
